airline,total_tweets,pct_negative,pct_positive,avg_confidence,avg_retweets,peak_hour,sentiment_std,risk_score,risk_tier
American,2759,0.6893802102210946,0.1402682131206959,0.8167904320079462,0.042406669083001086,9,0.7268534420196507,100.0,🔴 High Risk
Delta,2222,0.39648964896489647,0.3190819081908191,0.7986741119762673,0.11341134113411341,11,0.8425550933684007,100.0,🔴 High Risk
Southwest,2420,0.4706611570247934,0.293801652892562,0.8151041378413351,0.05991735537190083,8,0.856438333658542,100.0,🔴 High Risk
US Airways,2913,0.7250257466529351,0.11328527291452112,0.8241356260233059,0.0854788877445932,8,0.6813545201094209,100.0,🔴 High Risk
United,3822,0.6255886970172685,0.15907901622187337,0.814849947304828,0.11015175300889586,9,0.753116744583083,100.0,🔴 High Risk
Virgin America,504,0.39087301587301587,0.37103174603174605,0.8291365507812727,0.051587301587301584,10,0.8735130362258114,100.0,🔴 High Risk
