airline,total_tweets,avg_sentiment,pct_negative,pct_positive,avg_confidence,avg_retweets,peak_hour,sentiment_std,pct_high_confidence,early_sentiment,late_sentiment,sentiment_drift,churned
American,2759,-0.5491119971003987,0.6893802102210946,0.1402682131206959,0.8167904320079462,0.042406669083001086,9,0.7268534420196507,0.6462486408118884,-0.25,-0.549546279491833,-0.299546279491833,1
Delta,2222,-0.0774077407740774,0.39648964896489647,0.3190819081908191,0.7986741119762673,0.11341134113411341,11,0.8425550933684007,0.594059405940594,-0.07239819004524888,-0.08482142857142858,-0.0124232385261797,0
Southwest,2420,-0.1768595041322314,0.4706611570247934,0.293801652892562,0.8151041378413351,0.05991735537190083,8,0.856438333658542,0.6330578512396694,-0.16498516320474776,-0.20408163265306123,-0.039096469448313464,0
US Airways,2913,-0.611740473738414,0.7250257466529351,0.11328527291452112,0.8241356260233059,0.0854788877445932,8,0.6813545201094209,0.687607277720563,-0.5839902971497878,-0.6479430379746836,-0.06395274082489577,1
United,3822,-0.46650968079539507,0.6255886970172685,0.15907901622187337,0.814849947304828,0.11015175300889586,9,0.753116744583083,0.6444270015698587,-0.44674428633031477,-0.49700598802395207,-0.050261701693637306,1
Virgin America,504,-0.01984126984126984,0.39087301587301587,0.37103174603174605,0.8291365507812727,0.051587301587301584,10,0.8735130362258114,0.6646825396825397,0.04154302670623145,-0.1437125748502994,-0.18525560155653084,0
